run,strategy,num_requests,concurrency,errors,wall_sec,throughput_rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,accuracy
1,round_robin,3000,16,0,0.343862,8724.43,1.75003,0.483,5.604,5.719,95.6667
1,least_connections,3000,16,0,0.213263,14067.1,1.04665,0.787,1.952,6.197,95.6667
1,response_time,3000,16,0,0.236283,12696.6,1.19012,1.135,1.948,3.182,95.6667
1,random,3000,16,0,0.347029,8644.81,1.76088,0.505,5.643,5.945,95.6667
2,round_robin,3000,16,0,0.344797,8700.77,1.7525,0.487,5.607,5.725,95.6667
2,least_connections,3000,16,0,0.206681,14515.1,1.0111,0.79,1.694,6.03,95.6667
2,response_time,3000,16,0,0.239258,12538.8,1.2055,1.096,1.984,3.58,95.6667
2,random,3000,16,0,0.348952,8597.17,1.76899,0.5,5.648,5.982,95.6667
3,round_robin,3000,16,0,0.343311,8738.43,1.74683,0.483,5.608,5.751,95.6667
3,least_connections,3000,16,0,0.214607,13979,1.07754,0.852,1.853,6.155,95.6667
3,response_time,3000,16,0,0.22774,13172.9,1.14603,1.077,1.857,3.847,95.6667
3,random,3000,16,0,0.349838,8575.4,1.77319,0.51,5.653,5.935,95.6667
