run,strategy,num_requests,concurrency,errors,wall_sec,throughput_rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,accuracy
1,round_robin,2000,16,0,0.127993,15625.9,0.955361,0.874,1.685,2.009,96
1,least_connections,2000,16,0,0.134619,14856.7,1.00892,0.956,1.657,3.012,96
1,response_time,2000,16,0,0.151706,13183.4,1.14266,1.124,1.92,2.484,96
1,random,2000,16,0,0.12712,15733.2,0.947114,0.842,1.651,2.738,96
2,round_robin,2000,16,0,0.122496,16327.1,0.907181,0.798,1.669,2.188,96
2,least_connections,2000,16,0,0.119094,16793.5,0.884756,0.768,1.617,2.352,96
2,response_time,2000,16,0,0.163338,12244.5,1.23531,1.186,1.999,2.394,96
2,random,2000,16,0,0.150717,13269.9,1.13243,1.067,1.994,2.694,96
3,round_robin,2000,16,0,0.148209,13494.5,1.11143,1.062,1.919,2.708,96
3,least_connections,2000,16,0,0.123579,16184,0.919393,0.862,1.617,1.952,96
3,response_time,2000,16,0,0.129085,15493.7,0.957408,0.818,1.791,2.51,96
3,random,2000,16,0,0.142417,14043.3,1.06395,1.015,1.868,2.268,96
